Neuron 1,Neuron 2,Type,Nbr
VA09,VB08,S,6.0
AVBL,VB08,EJ,7.0
AVBR,VB08,EJ,3.0
VA08,VB08,EJ,3.0
VA09,VB08,EJ,1.0
VB09,VB08,EJ,3.0
VB09,VB08,R,1.0
VB09,VB08,Rp,2.0
VB09,VB08,S,1.0
VD09,VB08,R,5.0
VD09,VB08,Rp,5.0
VD10,VB08,R,1.0
DD05,VB09,R,5.0
DD05,VB09,Rp,3.0
VB08,VB09,R,1.0
VB08,VB09,S,3.0
AVAL,VB09,EJ,5.0
AVAR,VB09,EJ,4.0
AVBL,VB09,EJ,1.0
AVBR,VB09,EJ,6.0
DVB,VB09,EJ,1.0
PVCL,VB09,EJ,2.0
VA08,VB09,EJ,3.0
VA09,VB09,EJ,4.0
VB08,VB09,EJ,3.0
VD10,VB09,R,4.0
VD10,VB09,Rp,1.0
VD10,VB09,S,2.0
DD06,VB10,Rp,9.0
PVCL,VB10,S,2.0
PVCR,VB10,S,1.0
PVT,VB10,Rp,1.0
VA11,VB10,S,1.0
AVBL,VB10,EJ,2.0
AVBR,VB10,EJ,1.0
AVKL,VB10,EJ,1.0
PVCL,VB10,EJ,1.0
VD11,VB10,Rp,1.0
VD11,VB10,S,1.0
VD12,VB10,Rp,2.0
VD12,VB10,S,1.0
DD06,VB11,R,1.0
DD06,VB11,Rp,6.0
DVA,VB11,Sp,2.0
PVCL,VB11,S,1.0
PVCR,VB11,Rp,1.0
VA12,VB11,Rp,1.0
AVBL,VB11,EJ,2.0
AVBR,VB11,EJ,1.0
VA12,VB11,EJ,1.0
VD12,VB11,S,1.0
AVL,VC01,Rp,2.0
DD01,VC01,R,4.0
DD01,VC01,Rp,3.0
DD02,VC01,R,2.0
DD02,VC01,Rp,4.0
DD03,VC01,R,2.0
DD03,VC01,Rp,4.0
DVC,VC01,R,1.0
PVT,VC01,R,2.0
VC02,VC01,EJ,6.0
VC03,VC01,EJ,2.0
VC02,VC01,Rp,3.0
VC02,VC01,S,4.0
VD01,VC01,EJ,1.0
VC03,VC01,Rp,1.0
VC03,VC01,S,2.0
VC04,VC01,S,1.0
VD01,VC01,R,1.0
VD01,VC01,Rp,3.0
VD02,VC01,R,1.0
VD03,VC01,Rp,1.0
VD04,VC01,Rp,2.0
VD05,VC01,R,2.0
VD05,VC01,Rp,3.0
VD06,VC01,Rp,1.0
DB04,VC02,Rp,1.0
DD01,VC02,R,2.0
DD01,VC02,Rp,4.0
DD02,VC02,Rp,4.0
DD03,VC02,R,5.0
DD03,VC02,Rp,4.0
DVC,VC02,R,1.0
HSNR,VC02,S,1.0
HSNR,VC02,Sp,2.0
PVCR,VC02,Rp,1.0
PVNR,VC02,S,1.0
PVNR,VC02,Sp,1.0
PVQR,VC02,R,1.0
PVT,VC02,R,2.0
VB02,VC02,S,1.0
VC01,VC02,Rp,4.0
VC01,VC02,S,3.0
VC01,VC02,EJ,6.0
VC03,VC02,EJ,2.0
VC03,VC02,Rp,4.0
VC03,VC02,S,1.0
VD01,VC02,Rp,2.0
VD02,VC02,R,1.0
VD02,VC02,Rp,1.0
VD04,VC02,R,1.0
VD04,VC02,Rp,4.0
VD05,VC02,Rp,5.0
VD06,VC02,R,1.0
AVBL,VC03,S,1.0
AVL,VC03,Rp,1.0
DD01,VC03,R,1.0
DD01,VC03,Rp,1.0
DD02,VC03,Rp,4.0
DD03,VC03,R,1.0
DD03,VC03,Rp,4.0
DD04,VC03,R,2.0
DD04,VC03,Rp,10.0
DVC,VC03,R,1.0
HSNR,VC03,R,1.0
HSNR,VC03,S,1.0
PVNR,VC03,R,1.0
PVNR,VC03,Sp,1.0
PVPR,VC03,R,1.0
PVQR,VC03,R,4.0
VC01,VC03,Rp,2.0
VC01,VC03,S,1.0
VC02,VC03,Rp,1.0
VC02,VC03,S,4.0
DD04,VC03,EJ,1.0
VC01,VC03,EJ,2.0
VC02,VC03,EJ,2.0
VC04,VC03,EJ,1.0
VC05,VC03,EJ,2.0
VC04,VC03,S,4.0
VC05,VC03,S,1.0
VD01,VC03,Rp,1.0
VD02,VC03,R,1.0
VD03,VC03,Rp,1.0
VD04,VC03,Rp,2.0
VD05,VC03,R,3.0
VD05,VC03,Rp,1.0
VD06,VC03,R,3.0
VD06,VC03,Rp,1.0
VD07,VC03,Rp,5.0
AVBL,VC04,Rp,1.0
AVHR,VC04,R,1.0
VC01,VC04,R,1.0
VC03,VC04,R,3.0
VC03,VC04,Rp,1.0
AVFR,VC04,EJ,1.0
VC03,VC04,EJ,1.0
VC05,VC04,EJ,1.0
VC05,VC04,R,1.0
VC05,VC04,S,1.0
AVFL,VC05,R,1.0
AVFR,VC05,R,1.0
DVC,VC05,R,2.0
HSNL,VC05,R,1.0
HSNL,VC05,S,3.0
OLLR,VC05,R,1.0
PVT,VC05,R,1.0
URBL,VC05,R,3.0
VC03,VC05,R,1.0
VC04,VC05,Rp,1.0
VC04,VC05,S,1.0
VC03,VC05,EJ,2.0
VC04,VC05,EJ,1.0
AS01,VD01,S,5.0
AVHL,VD01,Sp,1.0
DA01,VD01,S,17.0
DA02,VD01,S,2.0
DB01,VD01,S,21.0
DD01,VD01,Rp,1.0
PVQR,VD01,Sp,1.0
VA01,VD01,Rp,2.0
VA01,VD01,S,2.0
VA02,VD01,S,2.0
VB01,VD01,S,3.0
VC01,VD01,S,4.0
VC02,VD01,S,2.0
VC03,VD01,S,1.0
DD01,VD01,EJ,4.0
DVC,VD01,EJ,5.0
RIFL,VD01,EJ,1.0
RIGL,VD01,EJ,2.0
SMDDR,VD01,EJ,1.0
VA02,VD01,EJ,1.0
VC01,VD01,EJ,1.0
VD02,VD01,EJ,7.0
AS02,VD02,S,10.0
AS03,VD02,S,1.0
AVEL,VD02,Sp,1.0
DA01,VD02,S,1.0
DA02,VD02,S,11.0
DB01,VD02,S,15.0
DD01,VD02,Rp,1.0
DD01,VD02,S,1.0
VA02,VD02,Rp,6.0
VA02,VD02,S,8.0
VA03,VD02,S,3.0
VB01,VD02,S,1.0
VB02,VD02,Rp,3.0
VB02,VD02,S,9.0
VC01,VD02,S,1.0
VC02,VD02,S,2.0
VC03,VD02,S,1.0
AS01,VD02,EJ,1.0
DD01,VD02,EJ,2.0
VA02,VD02,EJ,3.0
VD01,VD02,EJ,7.0
VD03,VD02,EJ,2.0
AS03,VD03,S,15.0
AVBR,VD03,S,1.0
AVEL,VD03,Sp,1.0
DA02,VD03,S,5.0
DA03,VD03,S,25.0
DB01,VD03,S,1.0
DB02,VD03,S,23.0
DD02,VD03,S,1.0
VA03,VD03,Rp,2.0
VA03,VD03,S,3.0
VB02,VD03,Rp,2.0
VB02,VD03,S,3.0
VC01,VD03,S,1.0
VC03,VD03,S,1.0
PVPL,VD03,EJ,1.0
VD02,VD03,EJ,2.0
VD04,VD03,EJ,1.0
AS04,VD04,S,11.0
DA03,VD04,S,6.0
DA04,VD04,S,12.0
DA06,VD04,S,4.0
DB02,VD04,S,14.0
DB03,VD04,S,9.0
DD02,VD04,S,1.0
HSNR,VD04,S,2.0
VA04,VD04,S,3.0
VC01,VD04,S,2.0
VC02,VD04,S,5.0
VC03,VD04,S,2.0
DD02,VD04,EJ,2.0
PVPR,VD04,EJ,1.0
VD03,VD04,EJ,1.0
VD05,VD04,EJ,1.0
AS05,VD05,S,9.0
AVAR,VD05,R,1.0
DA04,VD05,S,15.0
DA05,VD05,S,1.0
DA06,VD05,S,3.0
DB02,VD05,S,1.0
DB03,VD05,S,26.0
RID,VD05,S,1.0
RID,VD05,Sp,1.0
VA05,VD05,R,1.0
VA05,VD05,Rp,1.0
VA05,VD05,S,2.0
VA06,VD05,S,1.0
VB04,VD05,Rp,2.0
VC01,VD05,S,5.0
VC02,VD05,S,5.0
VC03,VD05,S,4.0
PVPR,VD05,EJ,1.0
VD04,VD05,EJ,1.0
VD06,VD05,EJ,2.0
AS06,VD06,S,13.0
AVAL,VD06,R,1.0
DA05,VD06,S,16.0
DA06,VD06,S,3.0
DB03,VD06,S,7.0
DB04,VD06,S,13.0
PVNR,VD06,S,1.0
VA06,VD06,R,1.0
VA06,VD06,S,2.0
VB05,VD06,R,2.0
VB05,VD06,S,7.0
VB06,VD06,S,1.0
VC01,VD06,S,1.0
VC02,VD06,S,1.0
VC03,VD06,S,4.0
VD05,VD06,EJ,2.0
VD07,VD06,EJ,1.0
PVNR,VD07,S,1.0
VA07,VD07,S,9.0
VA08,VD07,S,5.0
VB06,VD07,S,8.0
VC03,VD07,S,5.0
VA09,VD07,EJ,1.0
VD06,VD07,EJ,1.0
DD04,VD08,Rp,1.0
VA08,VD08,R,1.0
VA08,VD08,Rp,3.0
VA08,VD08,S,5.0
DD04,VD08,EJ,1.0
VA08,VD08,EJ,1.0
DD05,VD09,S,1.0
VA09,VD09,S,10.0
VB08,VD09,S,10.0
PDER,VD09,EJ,1.0
VD10,VD09,EJ,5.0
DD05,VD10,R,1.0
PVDL,VD10,S,1.0
VB08,VD10,S,1.0
VB09,VD10,R,2.0
VB09,VD10,S,5.0
AVBR,VD10,EJ,1.0
DD05,VD10,EJ,1.0
DVC,VD10,EJ,4.0
VD09,VD10,EJ,5.0
AVAR,VD11,R,2.0
AVFR,VD11,S,1.0
PDEL,VD11,S,1.0
VA11,VD11,R,1.0
VB10,VD11,R,1.0
VB10,VD11,S,1.0
AVL,VD12,Sp,4.0
PVNR,VD12,Sp,1.0
VA11,VD12,Rp,3.0
VA11,VD12,S,4.0
VA12,VD12,Rp,2.0
VA12,VD12,S,3.0
VB10,VD12,Rp,1.0
VB10,VD12,S,2.0
VB11,VD12,Rp,1.0
AS11,VD13,S,2.0
AVAR,VD13,Rp,2.0
AVAR,VD13,Sp,2.0
DA09,VD13,S,1.0
DB07,VD13,S,2.0
PDA,VD13,Sp,3.0
PDB,VD13,S,2.0
PDB,VD13,Sp,2.0
PVCL,VD13,Rp,1.0
PVCR,VD13,R,1.0
RID,VD13,S,1.0
VA12,VD13,Rp,1.0
VA12,VD13,S,11.0
PVPL,VD13,EJ,2.0
AS02,NMJ,NMJ,11.0
AS03,NMJ,NMJ,12.0
AS04,NMJ,NMJ,9.0
AS05,NMJ,NMJ,10.0
AS06,NMJ,NMJ,10.0
AS09,NMJ,NMJ,1.0
AS11,NMJ,NMJ,2.0
AVFL,NMJ,NMJ,2.0
AVFR,NMJ,NMJ,4.0
AVKR,NMJ,NMJ,1.0
AVKR,NMJ,NMJ,1.0
AVL,NMJ,NMJ,10.0
DA01,NMJ,NMJ,16.0
DA02,NMJ,NMJ,15.0
DA03,NMJ,NMJ,30.0
DA04,NMJ,NMJ,26.0
DA05,NMJ,NMJ,17.0
DA06,NMJ,NMJ,6.0
VC01,NMJ,NMJ,1.0
VC03,NMJ,NMJ,3.0
AS01,NMJ,NMJ,13.0
DA09,NMJ,NMJ,1.0
DB01,NMJ,NMJ,3.0
DB02,NMJ,NMJ,24.0
DB03,NMJ,NMJ,25.0
DB04,NMJ,NMJ,6.0
DD01,NMJ,NMJ,34.0
DD02,NMJ,NMJ,28.0
DD03,NMJ,NMJ,32.0
DD05,NMJ,NMJ,1.0
DD06,NMJ,NMJ,1.0
DVB,NMJ,NMJ,1.0
DVB,NMJ,NMJ,4.0
HSNL,NMJ,NMJ,7.0
HSNR,NMJ,NMJ,5.0
HSNR,NMJ,NMJ,1.0
IL1DL,NMJ,NMJ,1.0
IL1DL,NMJ,NMJ,4.0
IL1DR,NMJ,NMJ,1.0
IL1DR,NMJ,NMJ,6.0
IL1L,NMJ,NMJ,1.0
IL1L,NMJ,NMJ,12.0
IL1R,NMJ,NMJ,1.0
IL1R,NMJ,NMJ,12.0
IL1VL,NMJ,NMJ,3.0
IL1VL,NMJ,NMJ,6.0
IL1VR,NMJ,NMJ,1.0
IL1VR,NMJ,NMJ,9.0
PDA,NMJ,NMJ,2.0
PDB,NMJ,NMJ,2.0
PLNL,NMJ,NMJ,1.0
PVNL,NMJ,NMJ,1.0
PVNL,NMJ,NMJ,2.0
PVNR,NMJ,NMJ,2.0
PVNR,NMJ,NMJ,1.0
RID,NMJ,NMJ,2.0
RID,NMJ,NMJ,1.0
RIML,NMJ,NMJ,3.0
RIML,NMJ,NMJ,1.0
RIMR,NMJ,NMJ,3.0
RIMR,NMJ,NMJ,1.0
RIVL,NMJ,NMJ,4.0
RIVR,NMJ,NMJ,3.0
RIVR,NMJ,NMJ,2.0
RMDDL,NMJ,NMJ,1.0
RMDDL,NMJ,NMJ,7.0
RMDDR,NMJ,NMJ,10.0
RMDL,NMJ,NMJ,9.0
RMDL,NMJ,NMJ,2.0
RMDR,NMJ,NMJ,3.0
RMDR,NMJ,NMJ,1.0
RMDVL,NMJ,NMJ,3.0
RMDVL,NMJ,NMJ,6.0
RMDVR,NMJ,NMJ,6.0
RMDVR,NMJ,NMJ,3.0
RMED,NMJ,NMJ,10.0
RMEL,NMJ,NMJ,12.0
RMER,NMJ,NMJ,15.0
RMEV,NMJ,NMJ,5.0
RMFL,NMJ,NMJ,2.0
RMFL,NMJ,NMJ,1.0
RMGL,NMJ,NMJ,3.0
RMGL,NMJ,NMJ,1.0
RMGR,NMJ,NMJ,3.0
RMHL,NMJ,NMJ,7.0
RMHL,NMJ,NMJ,1.0
RMHR,NMJ,NMJ,5.0
RMHR,NMJ,NMJ,2.0
SMBDL,NMJ,NMJ,3.0
SMBDL,NMJ,NMJ,5.0
SMBDR,NMJ,NMJ,3.0
SMBDR,NMJ,NMJ,7.0
SMBVL,NMJ,NMJ,3.0
SMBVL,NMJ,NMJ,3.0
SMBVR,NMJ,NMJ,3.0
SMBVR,NMJ,NMJ,3.0
SMDDL,NMJ,NMJ,4.0
SMDDL,NMJ,NMJ,1.0
SMDDR,NMJ,NMJ,3.0
SMDVL,NMJ,NMJ,3.0
SMDVR,NMJ,NMJ,3.0
SMDVR,NMJ,NMJ,1.0
URADL,NMJ,NMJ,1.0
URADL,NMJ,NMJ,5.0
URADR,NMJ,NMJ,2.0
URADR,NMJ,NMJ,5.0
URAVL,NMJ,NMJ,6.0
URAVL,NMJ,NMJ,3.0
URAVR,NMJ,NMJ,1.0
URAVR,NMJ,NMJ,7.0
VA01,NMJ,NMJ,11.0
VA02,NMJ,NMJ,19.0
VA03,NMJ,NMJ,29.0
VA04,NMJ,NMJ,25.0
VA05,NMJ,NMJ,19.0
VA06,NMJ,NMJ,20.0
VA07,NMJ,NMJ,27.0
VA08,NMJ,NMJ,23.0
VA09,NMJ,NMJ,20.0
VA11,NMJ,NMJ,18.0
VA12,NMJ,NMJ,14.0
VB01,NMJ,NMJ,5.0
VB02,NMJ,NMJ,26.0
VB03,NMJ,NMJ,35.0
VB04,NMJ,NMJ,20.0
VB05,NMJ,NMJ,22.0
VB06,NMJ,NMJ,28.0
VB07,NMJ,NMJ,2.0
VB08,NMJ,NMJ,32.0
VB09,NMJ,NMJ,24.0
VB10,NMJ,NMJ,20.0
VB11,NMJ,NMJ,14.0
VC01,NMJ,NMJ,5.0
VC02,NMJ,NMJ,9.0
VC02,NMJ,NMJ,1.0
VC03,NMJ,NMJ,8.0
VC04,NMJ,NMJ,4.0
VC04,NMJ,NMJ,3.0
VC05,NMJ,NMJ,2.0
VC06,NMJ,NMJ,1.0
VD01,NMJ,NMJ,12.0
VD02,NMJ,NMJ,22.0
VD03,NMJ,NMJ,23.0
VD04,NMJ,NMJ,25.0
VD05,NMJ,NMJ,26.0
VD06,NMJ,NMJ,27.0
VD07,NMJ,NMJ,24.0
VD08,NMJ,NMJ,25.0
VD09,NMJ,NMJ,28.0
VD10,NMJ,NMJ,22.0
VD11,NMJ,NMJ,11.0
VD12,NMJ,NMJ,13.0
VD13,NMJ,NMJ,12.0
